age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,subscription,balance_scaled,duration_scaled,previous_scaled,CLV_Score,CLV_Segment,age_group
54,retired,married,secondary,no,529,yes,no,unknown,5,may,1492,1,-1,0,unknown,no,0,0.07760608646705283,0.3033753558357056,0.0,0.12981564998423809,VIP,51-60
58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,-1,0,unknown,no,0,0.07367494053347376,0.1252541683611224,0.0,0.0744137207750736,VIP,51-60
36,admin.,single,primary,no,-171,yes,no,unknown,5,may,242,1,-1,0,unknown,no,0,0.07125088518874949,0.04920699471329809,0.0,0.05038754100836417,Medium Value,31-40
58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,no,0,0.06949866540773156,0.07218381455876373,0.0,0.0564044770714949,High Value,51-60
44,technician,married,secondary,no,0,yes,no,unknown,5,may,225,2,-1,0,unknown,no,0,0.0728033700724493,0.045750305002033344,0.0,0.05012677653683466,Medium Value,41-50
55,technician,divorced,secondary,no,0,no,no,unknown,5,may,160,1,-1,0,unknown,no,0,0.0728033700724493,0.032533550223668155,0.0,0.0461617501033251,Medium Value,51-60
29,management,single,tertiary,no,0,yes,no,unknown,5,may,363,1,-1,0,unknown,no,0,0.0728033700724493,0.07381049206994714,0.0,0.05854483265720879,High Value,18-30
54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,266,1,-1,0,unknown,no,0,0.08452417700143447,0.05408702724684831,0.0,0.05848819667477173,High Value,51-60
48,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,253,1,-1,0,unknown,no,0,0.07058812848401214,0.05144367629117527,0.0,0.05072716712935865,Medium Value,41-50
32,management,married,tertiary,no,0,yes,no,unknown,5,may,179,1,-1,0,unknown,no,0,0.0728033700724493,0.03639690931272875,0.0,0.047320757830043275,Medium Value,31-40
42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no,0,0.07211337679080494,0.16002440016266775,0.0,0.0840640084442028,VIP,41-50
24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,no,0,0.07186824759864181,0.029483529890199266,0.0,0.04477918276638068,Low Value,18-30
38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,174,1,-1,0,unknown,no,0,0.07500953280191747,0.03538023586823912,0.0,0.04811883716143047,Medium Value,31-40
38,management,single,tertiary,no,424,yes,no,unknown,5,may,104,1,-1,0,unknown,no,0,0.07665280627530732,0.0211468076453843,0.0,0.044670445431268954,Low Value,31-40
47,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,13,1,-1,0,unknown,no,0,0.07558150091696476,0.0026433509556730377,0.0,0.038583755745184294,Low Value,41-50
40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,185,1,-1,0,unknown,no,0,0.07302126268770542,0.03761691744611631,0.0,0.047795706577687606,Medium Value,31-40
46,services,married,primary,no,179,yes,no,unknown,5,may,1778,1,-1,0,unknown,no,0,0.07442848582790115,0.3615290768605124,0.0,0.14567296597210427,VIP,41-50
32,admin.,married,tertiary,no,0,yes,no,unknown,5,may,138,1,-1,0,unknown,no,0,0.0728033700724493,0.028060187067913786,0.0,0.044819741156598786,Low Value,31-40
53,technician,divorced,secondary,no,989,yes,no,unknown,5,may,812,1,-1,0,unknown,no,0,0.08178236159279503,0.1651077673851159,0.0,0.09042351101193229,VIP,51-60
57,blue-collar,married,primary,no,249,yes,no,unknown,5,may,164,1,-1,0,unknown,no,0,0.0750640059557315,0.03334688897925986,0.0,0.047536069671643706,Medium Value,51-60
33,services,married,secondary,no,790,yes,no,unknown,5,may,391,1,-1,0,unknown,no,0,0.07997566865796307,0.07950386335908906,0.0,0.06383899333670826,High Value,31-40
49,blue-collar,married,unknown,no,154,yes,no,unknown,5,may,357,1,-1,0,unknown,no,0,0.07420151435367604,0.07259048393655958,0.0,0.05887790235780589,High Value,41-50
51,management,married,tertiary,no,6530,yes,no,unknown,5,may,91,1,-1,0,unknown,no,0,0.13208831914005048,0.018503456689711265,0.0,0.07159519657693862,VIP,51-60
60,retired,married,tertiary,no,100,no,no,unknown,5,may,528,1,-1,0,unknown,no,0,0.07371125596934978,0.10736071573810492,0.0,0.06906384270610637,VIP,51-60
59,management,divorced,tertiary,no,59,yes,no,unknown,5,may,273,1,-1,0,unknown,no,0,0.07333902275162059,0.05551037006913379,0.0,0.05332262239655043,High Value,51-60
55,technician,married,secondary,no,1205,yes,no,unknown,5,may,158,2,-1,0,unknown,no,0,0.08374339513010005,0.032126880845872306,0.0,0.05150976181881172,Medium Value,51-60
35,blue-collar,single,secondary,no,12223,yes,yes,unknown,5,may,177,1,-1,0,unknown,no,0,0.18377426325059468,0.0359902399349329,0.0,0.10268420360577721,VIP,31-40
57,blue-collar,married,secondary,no,5935,yes,yes,unknown,5,may,258,1,-1,0,unknown,no,0,0.12668639805349263,0.0524603497356649,0.0,0.07908130394744578,VIP,51-60
31,services,married,secondary,no,25,yes,yes,unknown,5,may,172,1,-1,0,unknown,no,0,0.07303034154667443,0.03497356649044327,0.0,0.04700724072047019,Medium Value,31-40
54,management,married,secondary,no,282,yes,yes,unknown,5,may,154,1,-1,0,unknown,no,0,0.07536360830170864,0.0313135420902806,0.0,0.0470758667779385,Medium Value,51-60
55,blue-collar,married,primary,no,23,yes,no,unknown,5,may,291,1,-1,0,unknown,no,0,0.07301218382873641,0.059170394469296464,0.0,0.054257210255157146,High Value,51-60
43,technician,married,secondary,no,1937,yes,no,unknown,5,may,181,1,-1,0,unknown,no,0,0.09038911989541155,0.036803578690524606,0.0,0.05623563355486316,High Value,41-50
53,technician,married,secondary,no,384,yes,no,unknown,5,may,176,1,-1,0,unknown,no,0,0.07628965191654713,0.03578690524603497,0.0,0.04888089753208406,Medium Value,51-60
44,blue-collar,married,secondary,no,582,no,yes,unknown,5,may,211,1,-1,0,unknown,no,0,0.07808726599241009,0.04290361935746238,0.0,0.051914718803443755,Medium Value,41-50
55,services,divorced,secondary,no,91,no,no,unknown,5,may,349,1,-1,0,unknown,no,0,0.07362954623862873,0.07096380642537617,0.0,0.05810391504692722,High Value,51-60
49,services,divorced,secondary,no,0,yes,yes,unknown,5,may,272,1,-1,0,unknown,no,0,0.0728033700724493,0.05530703538023587,0.0,0.05299379565029541,High Value,41-50
55,services,divorced,secondary,yes,1,yes,no,unknown,5,may,208,1,-1,0,unknown,no,0,0.0728124489314183,0.0422936152907686,0.0,0.04909430905293973,Medium Value,51-60
45,admin.,single,secondary,no,206,yes,no,unknown,5,may,193,1,-1,0,unknown,no,0,0.07467361502006428,0.03924359495729971,0.0,0.049109885997222054,Medium Value,41-50
47,services,divorced,secondary,no,164,no,no,unknown,5,may,212,1,-1,0,unknown,no,0,0.07429230294336608,0.04310695404636031,0.0,0.05007823768559114,Medium Value,41-50
42,technician,single,secondary,no,690,yes,no,unknown,5,may,20,1,-1,0,unknown,no,0,0.0790677827610626,0.004066693777958519,0.0,0.040753899513918855,Low Value,41-50
59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,yes,1,0.0940751366368275,0.21187474583163887,0.0,0.11059999206790541,VIP,51-60
46,self-employed,married,tertiary,no,137,yes,yes,unknown,5,may,246,1,-1,0,unknown,no,0,0.07404717375120295,0.050020333468889795,0.0,0.052029686916268414,Medium Value,41-50
51,blue-collar,married,primary,no,173,yes,no,unknown,5,may,529,2,-1,0,unknown,no,0,0.07437401267408712,0.10756405042700284,0.0,0.06945622146514441,VIP,51-60
56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,1,-1,0,unknown,yes,1,0.07321191872605452,0.2982919886132574,0.0,0.12609355594700447,VIP,51-60
41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,yes,1,0.08433352096308537,0.28243188287921916,0.0,0.12689632534530843,VIP,41-50
46,management,divorced,secondary,no,16,yes,yes,unknown,5,may,188,2,-1,0,unknown,no,0,0.07294863181595337,0.03822692151281008,0.0,0.04794239236181971,Medium Value,41-50
57,retired,married,secondary,no,486,yes,no,unknown,5,may,180,2,-1,0,unknown,no,0,0.07721569553138563,0.036600244001626675,0.0,0.049587920966180817,Medium Value,51-60
42,management,single,secondary,no,50,no,no,unknown,5,may,48,1,-1,0,unknown,no,0,0.07325731302089954,0.009760065067100447,0.0,0.0395566760305799,Low Value,41-50
30,technician,married,secondary,no,152,yes,yes,unknown,5,may,213,2,-1,0,unknown,no,0,0.07418335663573802,0.04331028873525823,0.0,0.05008476493844648,Medium Value,18-30
60,admin.,married,secondary,no,290,yes,no,unknown,5,may,583,1,-1,0,unknown,no,0,0.07543623917346069,0.11854412362749085,0.0,0.0732813566749776,VIP,51-60
60,blue-collar,married,unknown,no,54,yes,no,unknown,5,may,221,1,-1,0,unknown,no,0,0.07329362845677556,0.04493696624644164,0.0,0.05012790410232027,Medium Value,51-60
57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,5,may,173,1,-1,0,unknown,no,0,0.07246745229059613,0.0351769011793412,0.0,0.046786796499100426,Medium Value,51-60
36,management,married,tertiary,no,101,yes,yes,unknown,5,may,426,1,-1,0,unknown,no,0,0.07372033482831879,0.08662057747051646,0.0,0.06284634065531433,High Value,31-40
55,blue-collar,married,secondary,no,383,no,no,unknown,5,may,287,1,-1,0,unknown,no,0,0.07628057305757813,0.05835705571370476,0.0,0.05564740324290049,High Value,51-60
60,retired,married,tertiary,no,81,yes,no,unknown,5,may,101,1,-1,0,unknown,no,0,0.07353875764893869,0.020536803578690525,0.0,0.0429304198980765,Low Value,51-60
39,technician,married,secondary,no,0,yes,no,unknown,5,may,203,1,-1,0,unknown,no,0,0.0728033700724493,0.041276941846278975,0.0,0.048784767590108344,Medium Value,31-40
46,management,married,tertiary,no,229,yes,no,unknown,5,may,197,1,-1,0,unknown,no,0,0.0748824287763514,0.040056933712891415,0.0,0.04945829450204312,Medium Value,41-50
44,blue-collar,married,secondary,no,-674,yes,no,unknown,5,may,257,1,-1,0,unknown,no,0,0.06668421912734009,0.052257015046766976,0.0,0.049019214077700136,Medium Value,41-50
53,blue-collar,married,primary,no,90,no,no,unknown,5,may,124,1,-1,0,unknown,no,0,0.07362046737965973,0.025213501423342822,0.0,0.04437428411683271,Low Value,51-60
52,blue-collar,married,primary,no,128,yes,no,unknown,5,may,229,1,-1,0,unknown,no,0,0.07396546402048192,0.04656364375762505,0.0,0.050951825137528474,Medium Value,51-60
59,blue-collar,married,primary,no,179,yes,no,unknown,5,may,55,3,-1,0,unknown,no,0,0.07442848582790115,0.011183407889385929,0.0,0.040569265280766355,Low Value,51-60
27,technician,single,tertiary,no,0,yes,no,unknown,5,may,400,1,-1,0,unknown,no,0,0.0728033700724493,0.08133387555917039,0.0,0.06080184770397577,High Value,18-30
44,blue-collar,married,secondary,no,54,yes,no,unknown,5,may,197,1,-1,0,unknown,no,0,0.07329362845677556,0.040056933712891415,0.0,0.0486638943422552,Medium Value,41-50
47,technician,married,tertiary,no,151,yes,no,unknown,5,may,190,1,-1,0,unknown,no,0,0.07417427777676902,0.03863359089060594,0.0,0.04867721615556629,Medium Value,41-50
34,admin.,married,secondary,no,61,no,yes,unknown,5,may,21,1,-1,0,unknown,no,0,0.0733571804695586,0.004270028466856445,0.0,0.037959598774836234,Low Value,31-40
59,retired,single,secondary,no,30,yes,no,unknown,5,may,514,1,-1,0,unknown,no,0,0.07307573584151944,0.10451403009353395,0.0,0.06789207694881991,VIP,51-60
45,management,married,tertiary,no,523,yes,no,unknown,5,may,849,2,-1,0,unknown,no,0,0.0775516133132388,0.17263115087433917,0.0,0.09056515191892114,VIP,41-50
29,services,divorced,secondary,no,31,yes,no,unknown,5,may,194,1,-1,0,unknown,no,0,0.07308481470048846,0.03944692964619764,0.0,0.04837648624410352,Medium Value,18-30
46,technician,divorced,secondary,no,79,no,no,unknown,5,may,144,1,-1,0,unknown,no,0,0.07352059993100069,0.029280195201301342,0.0,0.04554435852589074,Low Value,41-50
56,self-employed,married,primary,no,-34,yes,yes,unknown,5,may,212,2,-1,0,unknown,no,0,0.07249468886750314,0.04310695404636031,0.0,0.04917943064765966,Medium Value,51-60
36,blue-collar,married,primary,no,448,yes,no,unknown,5,may,286,1,-1,0,unknown,no,0,0.07687069889056344,0.05815372102480683,0.0,0.05588146575272377,High Value,31-40
59,retired,divorced,primary,no,81,yes,no,unknown,5,may,107,1,-1,0,unknown,no,0,0.07353875764893869,0.02175681171207808,0.0,0.04329642233809277,Low Value,51-60
44,blue-collar,married,secondary,no,144,yes,no,unknown,5,may,247,2,-1,0,unknown,no,0,0.07411072576398599,0.05022366815778772,0.0,0.05212246332932931,Medium Value,41-50
41,admin.,married,secondary,no,351,yes,no,unknown,5,may,518,1,-1,0,unknown,no,0,0.07599004957056998,0.10532736884912566,0.0,0.06959323544002269,VIP,41-50
33,management,single,tertiary,no,-67,yes,no,unknown,5,may,364,1,-1,0,unknown,no,0,0.07219508652152598,0.07401382675884506,0.0,0.05830169128841651,High Value,31-40
59,management,divorced,tertiary,no,262,no,no,unknown,5,may,178,1,-1,0,unknown,no,0,0.07518203112232856,0.036193574623830826,0.0,0.04844908794831353,Medium Value,51-60
57,technician,married,primary,no,0,no,no,unknown,5,may,98,1,-1,0,unknown,no,0,0.0728033700724493,0.019926799511996746,0.0,0.042379724889823674,Low Value,51-60
56,technician,divorced,unknown,no,56,yes,no,unknown,5,may,439,1,-1,0,unknown,no,0,0.07331178617471357,0.0892639284261895,0.0,0.06343507161521364,High Value,51-60
51,blue-collar,married,secondary,no,26,yes,no,unknown,5,may,79,1,-1,0,unknown,no,0,0.07303942040564343,0.016063440422936153,0.0,0.04133874232970256,Low Value,51-60
34,admin.,married,unknown,no,3,yes,no,unknown,5,may,120,3,-1,0,unknown,no,0,0.07283060664935631,0.024400162667751118,0.0,0.04373535212500349,Low Value,31-40
43,services,married,secondary,no,41,yes,yes,unknown,5,may,127,2,-1,0,unknown,no,0,0.0731756032901785,0.0258235054900366,0.0,0.044334853292100226,Low Value,41-50
52,technician,married,tertiary,no,7,no,yes,unknown,5,may,175,1,-1,0,unknown,no,0,0.07286692208523234,0.03558357055713705,0.0,0.04710853220975728,Medium Value,51-60
33,technician,single,secondary,no,105,yes,no,unknown,5,may,262,2,-1,0,unknown,no,0,0.0737566502641948,0.053273688491256604,0.0,0.05286043167947438,High Value,31-40
29,admin.,single,secondary,no,818,yes,yes,unknown,5,may,61,1,-1,0,unknown,no,0,0.0802298767090952,0.012403416022773485,0.0,0.04383596316137965,Low Value,18-30
34,services,married,secondary,no,-16,yes,yes,unknown,5,may,78,1,-1,0,unknown,no,0,0.07265810832894523,0.015860105734038225,0.0,0.041087085884684085,Low Value,31-40
31,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,143,1,-1,0,unknown,no,0,0.0728033700724493,0.029076860512403414,0.0,0.04512474318994568,Low Value,31-40
55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,yes,1,0.09528262487970512,0.11773078487189914,0.0,0.0829605479014223,VIP,51-60
55,management,married,unknown,no,1185,no,no,unknown,5,may,677,1,-1,0,unknown,no,0,0.08356181795071996,0.1376575843838959,0.0,0.08307818429052874,VIP,51-60
32,admin.,single,secondary,no,217,yes,no,unknown,5,may,345,1,-1,0,unknown,no,0,0.07477348246872334,0.07015046766978446,0.0,0.058431881535297006,High Value,31-40
38,technician,single,secondary,no,1685,yes,no,unknown,5,may,185,1,-1,0,unknown,no,0,0.08810124743522235,0.03761691744611631,0.0,0.05533569895144607,High Value,31-40
55,admin.,single,secondary,no,802,yes,yes,unknown,5,may,100,2,-1,0,unknown,no,0,0.08008461496559113,0.020333468889792598,0.0,0.046142348149733343,Medium Value,51-60
28,unemployed,single,tertiary,no,0,yes,no,unknown,5,may,125,2,-1,0,unknown,no,0,0.0728033700724493,0.02541683611224075,0.0,0.044026735869896874,Low Value,18-30
23,blue-collar,married,secondary,no,94,yes,no,unknown,5,may,193,1,-1,0,unknown,no,0,0.07365678281553575,0.03924359495729971,0.0,0.04860146989495779,Medium Value,18-30
32,technician,single,secondary,no,0,yes,no,unknown,5,may,136,1,-1,0,unknown,no,0,0.0728033700724493,0.027653517690117934,0.0,0.04469774034326003,Low Value,31-40
43,services,single,unknown,no,0,no,no,unknown,5,may,73,1,-1,0,unknown,no,0,0.0728033700724493,0.014843432289548597,0.0,0.04085471472308923,Low Value,41-50
32,blue-collar,married,secondary,no,517,yes,no,unknown,5,may,528,1,-1,0,unknown,no,0,0.07749714015942477,0.10736071573810492,0.0,0.07095678480114387,VIP,31-40
46,blue-collar,married,secondary,no,265,yes,no,unknown,5,may,541,1,-1,0,unknown,no,0,0.07520926769923557,0.11000406669377796,0.0,0.07060585385775117,VIP,41-50
53,housemaid,divorced,primary,no,947,yes,no,unknown,5,may,163,1,-1,0,unknown,no,0,0.08140104951609682,0.033143554290361935,0.0,0.05064359104515699,Medium Value,51-60
34,self-employed,single,secondary,no,3,yes,no,unknown,5,may,301,1,-1,0,unknown,no,0,0.07283060664935631,0.06120374135827572,0.0,0.05477642573216087,High Value,31-40
57,unemployed,married,tertiary,no,42,no,no,unknown,5,may,46,1,-1,0,unknown,no,0,0.0731846821491475,0.009353395689304595,0.0,0.039398359781365126,Low Value,51-60
37,blue-collar,married,secondary,no,37,yes,no,unknown,5,may,204,1,-1,0,unknown,no,0,0.07313928785430247,0.0414802765351769,0.0,0.049013726887704306,Medium Value,31-40
59,blue-collar,married,secondary,no,57,yes,no,unknown,5,may,98,1,-1,0,unknown,no,0,0.07332086503368257,0.019926799511996746,0.0,0.04263847237044031,Low Value,51-60
33,services,married,secondary,no,22,yes,no,unknown,5,may,71,1,-1,0,unknown,no,0,0.0730031049697674,0.014436762911752745,0.0,0.040832581358409524,Low Value,31-40
56,blue-collar,divorced,primary,no,8,yes,no,unknown,5,may,157,2,-1,0,unknown,no,0,0.07287600094420134,0.03192354615697438,0.0,0.046015064319192986,Medium Value,51-60
48,unemployed,married,secondary,no,293,yes,no,unknown,5,may,243,1,-1,0,unknown,no,0,0.0754634757503677,0.049410329402196015,0.0,0.052554836695842655,Medium Value,41-50
43,services,married,primary,no,3,yes,no,unknown,5,may,186,2,-1,0,unknown,no,0,0.07283060664935631,0.037820252135014235,0.0,0.04776137896518243,Medium Value,41-50
54,blue-collar,married,primary,no,348,yes,no,unknown,5,may,579,2,-1,0,unknown,no,0,0.07596281299366296,0.11773078487189914,0.0,0.07330064195840122,VIP,51-60
51,blue-collar,married,unknown,no,-19,yes,no,unknown,5,may,163,2,-1,0,unknown,no,0,0.07263087175203821,0.033143554290361935,0.0,0.046258502163127685,Medium Value,51-60
26,student,single,secondary,no,0,yes,no,unknown,5,may,610,2,-1,0,unknown,no,0,0.0728033700724493,0.12403416022773485,0.0,0.07361193310454511,VIP,18-30
40,management,married,tertiary,no,-4,yes,no,unknown,5,may,2033,1,-1,0,unknown,no,0,0.07276705463657328,0.4133794225294835,0.0,0.16039735407713168,VIP,31-40
39,management,married,secondary,no,18,yes,no,unknown,5,may,85,1,-1,0,unknown,no,0,0.0729667895338914,0.01728344855632371,0.0,0.04166842933384281,Low Value,31-40
50,technician,married,primary,no,139,no,no,unknown,5,may,114,2,-1,0,unknown,no,0,0.07406533146914096,0.023180154534363562,0.0,0.043986712094879546,Low Value,41-50
41,services,married,secondary,no,0,yes,no,unknown,5,may,114,2,-1,0,unknown,no,0,0.0728033700724493,0.023180154534363562,0.0,0.04335573139653372,Low Value,41-50
51,blue-collar,married,unknown,no,1883,yes,no,unknown,5,may,57,1,-1,0,unknown,no,0,0.0898988615110853,0.011590077267181781,0.0,0.04842645393569718,Medium Value,51-60
60,retired,divorced,secondary,no,216,yes,no,unknown,5,may,238,1,-1,0,unknown,no,0,0.07476440360975434,0.04839365595770639,0.0,0.05190029859218909,Medium Value,51-60
52,blue-collar,married,secondary,no,782,yes,no,unknown,5,may,93,3,-1,0,unknown,no,0,0.07990303778621104,0.018910126067507117,0.0,0.045624556713357654,Low Value,51-60
